109
,org.apache.abdera.i18n.text.Localizer,org.apache.abdera.util.MimeTypeHelper,org.apache.abdera.model.Element,org.apache.abdera.model.Service,org.apache.abdera.model.Base,org.apache.abdera.model.Entry,org.apache.abdera.model.Categories,org.apache.abdera.model.Document,org.apache.abdera.model.Feed,org.apache.abdera.factory.Factory,org.apache.abdera.xpath.XPathException,org.apache.abdera.model.Source,org.apache.abdera.model.Generator,org.apache.abdera.model.IRIElement,org.apache.abdera.model.Collection,org.apache.abdera.model.Text,org.apache.abdera.i18n.iri.IRI,org.apache.abdera.model.ExtensibleElement,org.apache.abdera.model.DateTime,org.apache.abdera.model.Category,org.apache.abdera.model.Div,org.apache.abdera.model.Link,org.apache.abdera.model.Person,org.apache.abdera.util.AbstractParser,org.apache.abdera.parser.Parser,org.apache.abdera.parser.ParserOptions,org.apache.abdera.parser.ParseException,org.apache.abdera.Abdera,org.apache.abdera.protocol.util.CacheControlUtil,org.apache.abdera.protocol.util.AbstractRequest,org.apache.abdera.protocol.util.AbstractResponse,org.apache.abdera.model.Attribute,org.apache.abdera.util.AbstractExtensionFactory,org.apache.abdera.factory.ExtensionFactory,org.apache.abdera.util.filter.NonOpParseFilter,org.apache.abdera.util.filter.AbstractParseFilter,org.apache.abdera.writer.Writer,org.apache.abdera.writer.WriterOptions,org.apache.abdera.protocol.error.Error,org.apache.abdera.writer.StreamWriter,org.apache.abdera.model.ExtensibleElementWrapper,org.apache.abdera.protocol.error.ProtocolException,org.apache.abdera.util.CompressionUtil,org.apache.abdera.filter.ParseFilter,org.apache.abdera.protocol.util.AbstractMessage,org.apache.abdera.util.MimeTypeParseException,org.apache.abdera.protocol.Message,org.apache.abdera.i18n.text.UrlEncoding,org.apache.abdera.protocol.util.EncodingUtil,org.apache.abdera.i18n.text.io.FilteredCharReader,org.apache.abdera.model.ElementWrapper,org.apache.abdera.util.AbstractWriterOptions,org.apache.abdera.util.filter.CompoundParseFilter,org.apache.abdera.model.PersonWrapper,org.apache.abdera.util.Constants,org.apache.abdera.model.AtomDate,org.apache.abdera.i18n.text.Sanitizer,org.apache.abdera.util.Version,org.apache.abdera.util.AbstractNamedParser,org.apache.abdera.parser.NamedParser,org.apache.abdera.util.NamedItem,org.apache.abdera.i18n.rfc4646.Lang,org.apache.abdera.model.Content,org.apache.abdera.xpath.XPath,org.apache.abdera.model.ProcessingInstruction,org.apache.abdera.protocol.util.PoolManager,org.apache.abdera.protocol.ItemManager,org.apache.abdera.model.Control,org.apache.abdera.protocol.util.ProtocolConstants,org.apache.abdera.protocol.util.AbstractItemManager,org.apache.abdera.protocol.Request,org.apache.abdera.util.AbderaSource,org.apache.abdera.util.AbstractWriter,org.apache.abdera.util.Configuration,org.apache.abdera.parser.ParserFactory,org.apache.abdera.writer.WriterFactory,org.apache.abdera.factory.ExtensionFactoryMap,org.apache.abdera.model.TextValue,org.apache.abdera.util.XmlUtil,org.apache.abdera.i18n.text.CharUtils,org.apache.abdera.i18n.text.Filter,org.apache.abdera.util.EntityTag,org.apache.abdera.protocol.Response,org.apache.abdera.factory.StreamBuilder,org.apache.abdera.util.AbstractStreamWriter,org.apache.abdera.protocol.EntityProvider,org.apache.abdera.util.filter.WhiteListParseFilter,org.apache.abdera.util.filter.AbstractListParseFilter,org.apache.abdera.filter.ListParseFilter,org.apache.abdera.protocol.Resolver,org.apache.abdera.protocol.error.ErrorExtensionFactory,org.apache.abdera.util.AbderaConfiguration,org.apache.abdera.util.ServiceUtil,org.apache.abdera.writer.NamedWriter,org.apache.abdera.util.filter.BlackListParseFilter,org.apache.abdera.i18n.text.Normalizer,org.apache.abdera.util.AbderaDataSource,org.apache.abdera.model.DateTimeWrapper,org.apache.abdera.model.Workspace,org.apache.abdera.protocol.util.AbstractEntityProvider,org.apache.abdera.util.AbstractParserOptions,org.apache.abdera.util.XmlRestrictedCharReader,org.apache.abdera.util.EntityTag[],org.apache.abdera.model.Comment,org.apache.abdera.util.AbstractXPath,org.apache.abdera.util.AbstractNamedWriter,org.apache.abdera.util.AbderaResult,org.apache.abdera.util.filter.SafeContentWhiteListParseFilter
org.apache.abdera.util.Configuration,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,4.0,3.0,2.0,3.0,2.0,5.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,2.0,3.0,4.0,2.0,2.0,3.0,5.0,Infinity,2.0,2.0,2.0,2.0,2.0,1.0,2.0,6.0,5.0,2.0,4.0,5.0,4.0,3.0,2.0,0.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,6.0,5.0,4.0,5.0,3.0,1.0,1.0,2.0,6.0,5.0,3.0,2.0,2.0,3.0,2.0,4.0,4.0,2.0,2.0,3.0,2.0,4.0
org.apache.abdera.parser.ParserFactory,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,4.0,4.0,3.0,3.0,3.0,2.0,5.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,2.0,4.0,5.0,Infinity,2.0,2.0,3.0,3.0,3.0,2.0,3.0,6.0,5.0,3.0,4.0,5.0,4.0,4.0,3.0,1.0,0.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,6.0,5.0,4.0,5.0,3.0,1.0,1.0,2.0,6.0,5.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0
org.apache.abdera.writer.WriterFactory,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,4.0,4.0,3.0,3.0,3.0,2.0,6.0,5.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,6.0,2.0,3.0,5.0,3.0,2.0,3.0,5.0,Infinity,2.0,2.0,2.0,2.0,2.0,2.0,3.0,6.0,5.0,3.0,4.0,5.0,4.0,3.0,2.0,1.0,2.0,0.0,3.0,3.0,4.0,5.0,5.0,3.0,3.0,2.0,2.0,2.0,7.0,6.0,5.0,5.0,3.0,1.0,1.0,2.0,7.0,5.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,2.0,5.0
org.apache.abdera.factory.ExtensionFactoryMap,3.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,1.0,6.0,5.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,5.0,2.0,3.0,3.0,5.0,Infinity,3.0,3.0,4.0,2.0,2.0,2.0,2.0,5.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,0.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,7.0,6.0,5.0,4.0,3.0,2.0,3.0,3.0,7.0,5.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,5.0
org.apache.abdera.model.TextValue,4.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,4.0,4.0,3.0,2.0,2.0,6.0,5.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,2.0,3.0,5.0,3.0,4.0,4.0,5.0,Infinity,3.0,4.0,4.0,3.0,3.0,2.0,2.0,6.0,5.0,3.0,5.0,5.0,4.0,2.0,2.0,3.0,4.0,3.0,2.0,0.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,7.0,6.0,5.0,5.0,3.0,3.0,3.0,3.0,7.0,5.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,5.0
org.apache.abdera.util.XmlUtil,3.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,6.0,5.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,5.0,3.0,4.0,4.0,5.0,Infinity,3.0,3.0,4.0,2.0,3.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,7.0,6.0,5.0,4.0,3.0,3.0,3.0,4.0,7.0,5.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,5.0
org.apache.abdera.i18n.text.CharUtils,4.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,7.0,6.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,3.0,5.0,6.0,4.0,5.0,5.0,6.0,Infinity,4.0,4.0,5.0,3.0,4.0,4.0,4.0,6.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,1.0,0.0,2.0,3.0,4.0,4.0,4.0,4.0,8.0,7.0,6.0,5.0,4.0,4.0,4.0,5.0,8.0,6.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,6.0
org.apache.abdera.i18n.text.Filter,4.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,7.0,6.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,2.0,3.0,5.0,6.0,4.0,5.0,5.0,6.0,Infinity,4.0,4.0,5.0,3.0,4.0,4.0,4.0,6.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,1.0,2.0,0.0,3.0,4.0,4.0,4.0,4.0,8.0,7.0,6.0,5.0,4.0,4.0,4.0,5.0,8.0,6.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,3.0,6.0
org.apache.abdera.util.EntityTag,1.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,6.0,5.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,5.0,3.0,3.0,4.0,4.0,Infinity,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,0.0,1.0,3.0,3.0,1.0,7.0,6.0,5.0,2.0,3.0,2.0,3.0,3.0,7.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,5.0
org.apache.abdera.protocol.Response,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,1.0,4.0,3.0,3.0,7.0,6.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,5.0,2.0,3.0,1.0,3.0,3.0,5.0,2.0,4.0,6.0,2.0,3.0,3.0,4.0,Infinity,3.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,1.0,0.0,2.0,2.0,2.0,8.0,7.0,6.0,3.0,4.0,3.0,3.0,4.0,8.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,6.0
org.apache.abdera.factory.StreamBuilder,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,6.0,5.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,5.0,2.0,3.0,5.0,2.0,2.0,2.0,4.0,Infinity,2.0,2.0,2.0,1.0,1.0,2.0,2.0,5.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,0.0,1.0,2.0,7.0,6.0,5.0,4.0,3.0,1.0,2.0,2.0,7.0,4.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,2.0,5.0
org.apache.abdera.util.AbstractStreamWriter,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,6.0,5.0,3.0,3.0,2.0,1.0,3.0,3.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,5.0,2.0,4.0,5.0,2.0,1.0,1.0,4.0,Infinity,3.0,3.0,2.0,1.0,1.0,3.0,3.0,5.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,1.0,0.0,2.0,7.0,6.0,5.0,4.0,3.0,2.0,2.0,3.0,7.0,4.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0
org.apache.abdera.protocol.EntityProvider,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,7.0,6.0,3.0,4.0,2.0,1.0,3.0,3.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,5.0,3.0,5.0,6.0,3.0,3.0,3.0,5.0,Infinity,3.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,0.0,8.0,7.0,6.0,3.0,3.0,2.0,2.0,3.0,8.0,5.0,4.0,4.0,3.0,1.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,6.0
org.apache.abdera.util.filter.WhiteListParseFilter,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,8.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,6.0,6.0,7.0,8.0,8.0,6.0,7.0,6.0,3.0,2.0,7.0,6.0,6.0,7.0,6.0,7.0,5.0,3.0,7.0,8.0,8.0,8.0,6.0,9.0,6.0,6.0,3.0,6.0,7.0,7.0,7.0,Infinity,6.0,6.0,7.0,7.0,6.0,7.0,6.0,10.0,9.0,6.0,9.0,9.0,8.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,8.0,8.0,7.0,8.0,7.0,7.0,8.0,0.0,1.0,2.0,9.0,7.0,6.0,6.0,7.0,2.0,7.0,7.0,6.0,6.0,8.0,4.0,8.0,8.0,6.0,7.0,7.0,6.0,3.0
org.apache.abdera.util.filter.AbstractListParseFilter,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,7.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,6.0,7.0,7.0,5.0,6.0,5.0,2.0,1.0,6.0,5.0,5.0,6.0,5.0,6.0,4.0,2.0,6.0,7.0,7.0,7.0,5.0,8.0,5.0,5.0,2.0,5.0,6.0,6.0,6.0,Infinity,5.0,5.0,6.0,6.0,5.0,6.0,5.0,9.0,8.0,5.0,8.0,8.0,7.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,7.0,6.0,6.0,7.0,1.0,0.0,1.0,8.0,6.0,5.0,5.0,6.0,1.0,6.0,6.0,5.0,5.0,7.0,3.0,7.0,7.0,5.0,6.0,6.0,5.0,2.0
org.apache.abdera.filter.ListParseFilter,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,6.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,5.0,6.0,6.0,4.0,5.0,4.0,3.0,2.0,5.0,4.0,4.0,5.0,4.0,5.0,3.0,1.0,5.0,6.0,6.0,6.0,4.0,7.0,4.0,4.0,2.0,4.0,5.0,5.0,5.0,Infinity,4.0,4.0,5.0,5.0,4.0,5.0,4.0,8.0,7.0,4.0,7.0,7.0,6.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,2.0,1.0,0.0,7.0,5.0,4.0,4.0,5.0,2.0,5.0,5.0,4.0,4.0,6.0,2.0,6.0,6.0,4.0,5.0,5.0,4.0,2.0
org.apache.abdera.protocol.Resolver,3.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,6.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,2.0,3.0,5.0,4.0,5.0,8.0,7.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,6.0,3.0,4.0,2.0,4.0,4.0,6.0,4.0,6.0,7.0,4.0,5.0,5.0,5.0,Infinity,5.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,2.0,5.0,3.0,2.0,1.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,2.0,3.0,4.0,4.0,3.0,9.0,8.0,7.0,0.0,5.0,4.0,5.0,5.0,9.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,7.0
org.apache.abdera.protocol.error.ErrorExtensionFactory,4.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,5.0,4.0,4.0,3.0,1.0,2.0,6.0,5.0,3.0,3.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,3.0,4.0,4.0,6.0,Infinity,3.0,4.0,3.0,3.0,3.0,3.0,3.0,6.0,5.0,3.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,7.0,6.0,5.0,5.0,0.0,3.0,3.0,4.0,7.0,6.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,5.0
org.apache.abdera.util.AbderaConfiguration,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,3.0,3.0,2.0,2.0,1.0,5.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,2.0,3.0,4.0,2.0,1.0,3.0,5.0,Infinity,2.0,1.0,2.0,2.0,2.0,1.0,2.0,5.0,4.0,2.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,1.0,2.0,2.0,6.0,5.0,4.0,4.0,3.0,0.0,1.0,1.0,6.0,5.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0
org.apache.abdera.util.ServiceUtil,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,4.0,3.0,2.0,3.0,2.0,5.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,2.0,3.0,4.0,2.0,1.0,3.0,5.0,Infinity,2.0,2.0,2.0,2.0,2.0,1.0,2.0,6.0,5.0,2.0,4.0,5.0,4.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,6.0,5.0,4.0,5.0,3.0,1.0,0.0,2.0,6.0,5.0,3.0,2.0,2.0,3.0,2.0,4.0,4.0,2.0,2.0,3.0,2.0,4.0
org.apache.abdera.writer.NamedWriter,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,5.0,4.0,4.0,3.0,3.0,2.0,6.0,5.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,6.0,2.0,3.0,5.0,3.0,2.0,4.0,5.0,Infinity,3.0,2.0,1.0,3.0,3.0,2.0,3.0,6.0,5.0,3.0,5.0,5.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0,5.0,3.0,4.0,2.0,3.0,3.0,7.0,6.0,5.0,5.0,4.0,1.0,2.0,0.0,7.0,5.0,3.0,3.0,3.0,4.0,3.0,5.0,4.0,3.0,3.0,1.0,3.0,5.0
org.apache.abdera.util.filter.BlackListParseFilter,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,8.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,6.0,6.0,7.0,8.0,8.0,6.0,7.0,6.0,3.0,2.0,7.0,6.0,6.0,7.0,6.0,7.0,5.0,3.0,7.0,8.0,8.0,8.0,6.0,9.0,6.0,6.0,3.0,6.0,7.0,7.0,7.0,Infinity,6.0,6.0,7.0,7.0,6.0,7.0,6.0,10.0,9.0,6.0,9.0,9.0,8.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,8.0,8.0,7.0,8.0,7.0,7.0,8.0,2.0,1.0,2.0,9.0,7.0,6.0,6.0,7.0,0.0,7.0,7.0,6.0,6.0,8.0,4.0,8.0,8.0,6.0,7.0,7.0,6.0,3.0
org.apache.abdera.i18n.text.Normalizer,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,6.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,2.0,3.0,3.0,5.0,5.0,5.0,6.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0,2.0,4.0,2.0,3.0,3.0,3.0,1.0,7.0,4.0,3.0,5.0,4.0,5.0,5.0,2.0,Infinity,5.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,4.0,4.0,4.0,4.0,5.0,7.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,7.0,0.0,5.0,5.0,5.0,5.0,3.0,6.0,5.0,5.0,5.0,4.0,5.0,5.0
org.apache.abdera.util.AbderaDataSource,4.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,4.0,4.0,3.0,2.0,2.0,6.0,5.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,2.0,3.0,5.0,3.0,4.0,4.0,5.0,Infinity,2.0,3.0,4.0,3.0,2.0,2.0,2.0,6.0,5.0,3.0,5.0,5.0,4.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,7.0,6.0,5.0,5.0,3.0,3.0,3.0,3.0,7.0,5.0,0.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,3.0,5.0
org.apache.abdera.model.DateTimeWrapper,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,5.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,1.0,3.0,4.0,2.0,3.0,1.0,5.0,Infinity,3.0,3.0,4.0,2.0,2.0,3.0,2.0,6.0,5.0,2.0,4.0,5.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,6.0,5.0,4.0,5.0,3.0,2.0,2.0,3.0,6.0,5.0,3.0,0.0,2.0,4.0,2.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0
org.apache.abdera.model.Workspace,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,2.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,2.0,4.0,4.0,2.0,3.0,3.0,5.0,Infinity,3.0,3.0,3.0,3.0,2.0,3.0,2.0,6.0,5.0,2.0,4.0,5.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,6.0,5.0,4.0,5.0,3.0,2.0,2.0,3.0,6.0,5.0,3.0,2.0,0.0,4.0,2.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0
